transaction_id,merchant_id,transaction_date,amount,currency,status,payment_method,transaction_type,fee_charged
1,1,2023-01-15,1280812,NGN,successful,card,payment,8965.68
2,1,2023-01-04,4290017,NGN,pending,bank_transfer,payment,0
3,1,2023-01-14,13876609,NGN,successful,card,payment,97136.26
4,1,2023-01-03,7669279,NGN,successful,mobile_money,payment,53684.95
5,1,2023-01-24,2999514,NGN,failed,ussd,payment,0
6,1,2023-01-11,2186015,NGN,successful,card,payment,15302.1
7,1,2023-01-04,9298533,NGN,successful,ussd,payment,65089.73
8,1,2023-01-19,12656296,NGN,successful,ussd,payment,88594.07
9,1,2023-01-12,14213725,NGN,successful,card,payment,99496.07
10,1,2023-01-18,3237146,NGN,successful,bank_transfer,payment,22660.02
11,1,2023-01-07,10837855,NGN,pending,ussd,payment,0
12,1,2023-01-15,1917885,NGN,successful,bank_transfer,payment,13425.19
13,1,2023-01-27,4771920,NGN,successful,card,payment,33403.44
14,1,2023-01-03,7003503,NGN,successful,card,payment,49024.52
15,1,2023-01-21,2808875,NGN,successful,bank_transfer,payment,19662.12
16,1,2023-01-16,1834891,NGN,successful,ussd,payment,12844.24
17,1,2023-01-22,10522950,NGN,successful,mobile_money,payment,73660.65
18,1,2023-01-16,12594473,NGN,successful,ussd,payment,88161.31
19,1,2023-01-07,11215338,NGN,successful,mobile_money,payment,78507.37
20,1,2023-01-08,12835363,NGN,failed,card,payment,0
21,1,2023-01-18,5527737,NGN,failed,card,payment,0
22,1,2023-01-21,5604664,NGN,successful,ussd,payment,39232.65
23,1,2023-01-26,6561163,NGN,successful,mobile_money,payment,45928.14
24,1,2023-01-01,4607418,NGN,successful,mobile_money,payment,32251.93
25,1,2023-01-12,3559937,NGN,successful,bank_transfer,payment,24919.56
26,1,2023-01-16,3629559,NGN,successful,ussd,payment,25406.91
27,1,2023-01-11,8682216,NGN,failed,card,payment,0
28,1,2023-01-24,789218,NGN,successful,bank_transfer,payment,5524.53
29,1,2023-01-18,2606240,NGN,successful,ussd,payment,18243.68
30,1,2023-01-22,11732841,NGN,successful,ussd,payment,82129.89
31,1,2023-01-09,3573615,NGN,successful,ussd,payment,25015.31
32,1,2023-01-13,12874082,NGN,successful,mobile_money,payment,90118.57
33,1,2023-01-01,10327807,NGN,successful,mobile_money,payment,72294.65
34,1,2023-01-06,1806610,NGN,successful,mobile_money,payment,12646.27
35,1,2023-01-17,4699859,NGN,successful,card,payment,32899.01
36,1,2023-01-13,7954041,NGN,successful,bank_transfer,payment,55678.29
37,1,2023-01-28,2811217,NGN,successful,bank_transfer,payment,19678.52
38,1,2023-01-10,6833733,NGN,successful,mobile_money,payment,47836.13
39,1,2023-01-19,12723318,NGN,successful,mobile_money,payment,89063.23
40,1,2023-01-07,10790593,NGN,successful,bank_transfer,payment,75534.15
41,1,2023-01-24,14379007,NGN,successful,bank_transfer,payment,100653.05
42,1,2023-01-08,7142595,NGN,successful,mobile_money,payment,49998.17
43,1,2023-01-12,3387573,NGN,successful,ussd,payment,23713.01
44,1,2023-01-09,13430287,NGN,failed,mobile_money,payment,0
45,1,2023-01-21,779302,NGN,successful,bank_transfer,payment,5455.11
46,1,2023-01-07,3842993,NGN,successful,mobile_money,payment,26900.95
47,1,2023-01-16,3049089,NGN,successful,card,payment,21343.62
48,1,2023-01-10,8850258,NGN,failed,ussd,payment,0
49,1,2023-01-02,3923520,NGN,successful,ussd,payment,27464.64
50,1,2023-01-06,825027,NGN,successful,ussd,payment,5775.19
51,1,2023-01-18,2826550,NGN,successful,ussd,payment,19785.85
52,1,2023-01-09,2807797,NGN,successful,ussd,payment,19654.58
53,1,2023-01-20,3408502,NGN,successful,ussd,refund,23859.51
54,1,2023-01-12,4637031,NGN,successful,bank_transfer,payment,32459.22
55,1,2023-01-27,14759449,NGN,pending,bank_transfer,payment,0
56,1,2023-01-04,4855267,NGN,successful,ussd,payment,33986.87
57,1,2023-01-03,10148617,NGN,successful,mobile_money,payment,71040.32
58,1,2023-01-05,7143105,NGN,successful,bank_transfer,payment,50001.74
59,1,2023-01-26,2837678,NGN,successful,bank_transfer,payment,19863.75
60,1,2023-01-17,8709613,NGN,successful,ussd,payment,60967.29
61,1,2023-01-13,12976869,NGN,successful,card,payment,90838.08
62,1,2023-01-03,13138862,NGN,successful,bank_transfer,payment,91972.03
63,1,2023-01-06,8047931,NGN,successful,bank_transfer,payment,56335.52
64,1,2023-01-04,13873899,NGN,successful,mobile_money,payment,97117.29
65,1,2023-01-05,7436400,NGN,successful,mobile_money,payment,52054.8
66,1,2023-01-22,7530638,NGN,successful,mobile_money,payment,52714.47
67,1,2023-01-14,8188955,NGN,successful,card,payment,57322.68
68,1,2023-01-25,13460165,NGN,failed,bank_transfer,payment,0
69,1,2023-01-05,5743784,NGN,successful,mobile_money,payment,40206.49
70,1,2023-01-16,12326753,NGN,successful,card,payment,86287.27
71,1,2023-01-24,3344942,NGN,failed,card,payment,0
72,1,2023-01-02,6550089,NGN,successful,mobile_money,payment,45850.62
73,1,2023-01-14,4360083,NGN,successful,mobile_money,payment,30520.58
74,1,2023-01-26,14411254,NGN,successful,card,payment,100878.78
75,1,2023-01-02,6987346,NGN,failed,mobile_money,payment,0
76,1,2023-01-21,13516650,NGN,successful,mobile_money,payment,94616.55
77,1,2023-01-09,5478047,NGN,successful,bank_transfer,payment,38346.33
78,1,2023-01-15,12563166,NGN,pending,mobile_money,payment,0
79,1,2023-01-03,14973857,NGN,successful,mobile_money,payment,104817
80,1,2023-01-08,2461387,NGN,successful,ussd,payment,17229.71
81,1,2023-01-18,5193613,NGN,successful,card,payment,36355.29
82,1,2023-01-03,3381951,NGN,successful,mobile_money,refund,23673.66
83,1,2023-01-03,8441434,NGN,successful,bank_transfer,payment,59090.04
84,1,2023-01-07,6108701,NGN,successful,mobile_money,payment,42760.91
85,1,2023-01-08,2061943,NGN,successful,bank_transfer,payment,14433.6
86,1,2023-01-26,3898848,NGN,successful,bank_transfer,payment,27291.94
87,1,2023-01-06,8700702,NGN,successful,card,payment,60904.91
88,1,2023-01-03,5397849,NGN,successful,card,payment,37784.94
89,1,2023-01-08,14343959,NGN,successful,card,payment,100407.71
90,1,2023-01-15,11757289,NGN,successful,card,payment,82301.02
91,1,2023-01-12,14472843,NGN,successful,mobile_money,payment,101309.9
92,1,2023-01-10,2234388,NGN,successful,card,payment,15640.72
93,1,2023-01-21,987947,NGN,successful,card,payment,6915.63
94,1,2023-01-12,6788316,NGN,successful,card,payment,47518.21
95,1,2023-01-13,7373718,NGN,successful,card,payment,51616.03
96,1,2023-01-18,11514794,NGN,failed,mobile_money,payment,0
97,1,2023-01-18,1952370,NGN,successful,ussd,payment,13666.59
98,1,2023-01-19,13056248,NGN,pending,ussd,payment,0
99,1,2023-01-19,14646205,NGN,failed,card,payment,0
100,1,2023-01-25,12674546,NGN,successful,card,payment,88721.82
101,1,2023-01-02,3719900,NGN,failed,mobile_money,payment,0
102,1,2023-01-23,3950883,NGN,successful,ussd,payment,27656.18
103,1,2023-01-18,8926748,NGN,successful,bank_transfer,payment,62487.24
104,1,2023-01-03,7954002,NGN,successful,ussd,payment,55678.01
105,1,2023-01-11,1263822,NGN,successful,bank_transfer,payment,8846.75
106,1,2023-01-15,10390424,NGN,successful,mobile_money,payment,72732.97
107,1,2023-01-14,4754612,NGN,successful,mobile_money,payment,33282.28
108,1,2023-01-07,10664809,NGN,successful,bank_transfer,payment,74653.66
109,1,2023-01-14,756728,NGN,successful,bank_transfer,payment,5297.1
110,1,2023-01-14,1511327,NGN,successful,card,payment,10579.29
111,1,2023-01-21,8683173,NGN,successful,ussd,payment,60782.21
112,1,2023-01-09,8846825,NGN,successful,mobile_money,payment,61927.78
113,1,2023-01-24,12977900,NGN,successful,mobile_money,payment,90845.3
114,1,2023-01-17,6395700,NGN,successful,ussd,payment,44769.9
115,1,2023-01-13,5732868,NGN,successful,card,payment,40130.08
116,1,2023-01-10,1083967,NGN,successful,bank_transfer,payment,7587.77
117,1,2023-01-13,5093615,NGN,successful,mobile_money,payment,35655.31
118,1,2023-01-15,9848672,NGN,successful,ussd,payment,68940.7
119,1,2023-01-08,12057807,NGN,successful,ussd,payment,84404.65
120,1,2023-01-21,8509864,NGN,successful,mobile_money,payment,59569.05
121,1,2023-01-23,7098220,NGN,failed,card,payment,0
122,1,2023-01-07,10721646,NGN,successful,bank_transfer,payment,75051.52
123,1,2023-01-17,8724076,NGN,successful,ussd,payment,61068.53
124,1,2023-01-18,6020895,NGN,successful,mobile_money,payment,42146.26
125,1,2023-01-27,14601305,NGN,successful,card,payment,102209.13
126,1,2023-01-18,11071590,NGN,successful,bank_transfer,payment,77501.13
127,1,2023-01-11,14355528,NGN,successful,card,payment,100488.7
128,1,2023-01-08,8931707,NGN,failed,bank_transfer,payment,0
129,1,2023-01-11,12168730,NGN,successful,card,payment,85181.11
130,1,2023-01-15,11615208,NGN,successful,card,payment,81306.46
131,1,2023-01-27,6422153,NGN,successful,mobile_money,payment,44955.07
132,1,2023-01-14,11360250,NGN,successful,mobile_money,refund,79521.75
133,1,2023-01-15,9559645,NGN,successful,ussd,payment,66917.51
134,1,2023-01-24,14276827,NGN,successful,ussd,payment,99937.79
135,1,2023-01-13,4445933,NGN,successful,bank_transfer,payment,31121.53
136,1,2023-01-17,4026769,NGN,successful,ussd,payment,28187.38
137,1,2023-01-27,2453452,NGN,successful,mobile_money,payment,17174.16
138,1,2023-01-15,2413363,NGN,successful,card,payment,16893.54
139,1,2023-01-06,6299441,NGN,successful,ussd,payment,44096.09
140,1,2023-01-07,9454855,NGN,successful,card,payment,66183.99
141,1,2023-01-12,4964500,NGN,successful,bank_transfer,payment,34751.5
142,1,2023-01-06,2256804,NGN,successful,card,payment,15797.63
143,1,2023-01-02,11565751,NGN,successful,card,payment,80960.26
144,1,2023-01-19,8609629,NGN,successful,mobile_money,payment,60267.4
145,1,2023-01-17,13335888,NGN,failed,mobile_money,payment,0
146,1,2023-01-06,11243950,NGN,successful,ussd,payment,78707.65
147,1,2023-01-11,12647611,NGN,successful,bank_transfer,payment,88533.28
148,1,2023-01-09,5547645,NGN,successful,mobile_money,payment,38833.51
149,1,2023-01-13,3840975,NGN,successful,bank_transfer,payment,26886.83
150,1,2023-01-04,2851585,NGN,successful,mobile_money,payment,19961.09
